temperature	air_quality	carbon_monoxide	gas_and_smoke	label
30.25	208	342	176	Non-Fire
30.25	208	344	190	Non-Fire
30.25	210	350	176	Non-Fire
30.25	208	353	171	Non-Fire
30.25	207	340	185	Non-Fire
30.25	213	353	177	Non-Fire
30.31	208	363	190	Non-Fire
30.25	203	358	173	Non-Fire
30.25	209	360	175	Non-Fire
30.25	202	343	192	Non-Fire
30.31	204	358	187	Non-Fire
30.31	210	350	181	Non-Fire
30.25	213	352	176	Non-Fire
30.31	214	347	191	Non-Fire
30.31	215	361	179	Non-Fire
30.31	208	346	175	Non-Fire
30.31	207	358	182	Non-Fire
30.31	205	351	190	Non-Fire
30.31	202	359	192	Non-Fire
30.31	208	350	175	Non-Fire
30.31	213	342	180	Non-Fire
30.31	208	352	188	Non-Fire
30.31	213	343	188	Non-Fire
30.31	209	355	180	Non-Fire
30.38	209	349	176	Non-Fire
30.31	212	362	174	Non-Fire
30.38	204	342	178	Non-Fire
30.38	199	349	190	Non-Fire
30.38	199	349	188	Non-Fire
30.31	240	322	176	Non-Fire
30.38	216	358	191	Non-Fire
30.38	213	357	187	Non-Fire
30.38	208	362	175	Non-Fire
30.38	207	341	174	Non-Fire
30.31	207	357	176	Non-Fire
30.38	208	347	183	Non-Fire
30.38	215	354	191	Non-Fire
30.38	212	343	189	Non-Fire
30.38	212	357	174	Non-Fire
30.38	208	350	187	Non-Fire
30.38	210	351	190	Non-Fire
30.38	208	349	180	Non-Fire
30.38	203	353	185	Non-Fire
30.38	204	358	186	Non-Fire
30.31	208	357	174	Non-Fire
30.31	208	350	181	Non-Fire
30.31	208	362	176	Non-Fire
30.31	202	363	176	Non-Fire
30.31	209	363	185	Non-Fire
30.31	208	343	176	Non-Fire
30.31	202	360	177	Non-Fire
30.31	212	357	191	Non-Fire
30.25	209	358	177	Non-Fire
30.31	207	355	184	Non-Fire
30.31	207	346	176	Non-Fire
30.31	208	350	177	Non-Fire
30.31	208	346	191	Non-Fire
30.31	216	345	176	Non-Fire
30.25	208	355	176	Non-Fire
30.25	205	351	179	Non-Fire
30.31	205	344	182	Non-Fire
30.25	210	352	191	Non-Fire
30.31	214	339	192	Non-Fire
30.31	208	361	189	Non-Fire
30.31	213	355	178	Non-Fire
30.31	206	357	175	Non-Fire
30.25	208	347	182	Non-Fire
30.31	211	339	192	Non-Fire
30.31	208	343	178	Non-Fire
30.31	213	351	182	Non-Fire
30.25	208	347	182	Non-Fire
30.31	208	356	176	Non-Fire
30.31	208	350	189	Non-Fire
30.25	203	353	195	Non-Fire
30.25	204	347	195	Non-Fire
30.31	206	345	176	Non-Fire
30.31	215	360	177	Non-Fire
30.25	217	350	194	Non-Fire
30.25	214	343	191	Non-Fire
30.25	207	356	179	Non-Fire
30.25	211	357	176	Non-Fire
30.25	204	345	178	Non-Fire
30.25	214	345	176	Non-Fire
30.25	208	343	195	Non-Fire
30.25	209	358	183	Non-Fire
30.25	208	346	193	Non-Fire
30.25	217	354	179	Non-Fire
30.25	208	362	176	Non-Fire
30.25	210	352	192	Non-Fire
30.25	208	358	192	Non-Fire
30.25	208	356	181	Non-Fire
30.25	211	345	175	Non-Fire
30.25	210	361	192	Non-Fire
30.25	211	353	191	Non-Fire
30.25	200	357	180	Non-Fire
30.25	211	357	176	Non-Fire
30.25	199	341	181	Non-Fire
30.25	215	352	176	Non-Fire
30.19	203	345	185	Non-Fire
30.19	208	342	176	Non-Fire
30.19	213	340	183	Non-Fire
30.19	210	363	185	Non-Fire
30.19	205	347	176	Non-Fire
30.25	215	356	177	Non-Fire
30.19	207	356	187	Non-Fire
30.19	202	349	191	Non-Fire
